step,episode,episode_length,episode_return,value_loss,q_loss,policy_loss,alpha,eval_return,eval_std
1000,1,1000,-202.9210938338679,,,,0.2,,
2000,2,1000,-267.81238462196654,,,,0.2,,
3000,3,1000,-368.978246214285,,,,0.2,,
4000,4,1000,-234.50604172850092,,,,0.2,,
5000,5,1000,-249.95875379727605,3.5660126209259033,3.813410520553589,1.4205424785614014,0.2,,
6000,6,1000,-280.9582318730787,0.1373053789138794,0.7437884211540222,-0.398295521736145,0.2,,
7000,7,1000,-316.9931977550549,0.12045229971408844,1.286285161972046,-1.7916107177734375,0.2,,
8000,8,1000,-95.77376522830029,0.12035326659679413,2.119917869567871,-3.0736021995544434,0.2,,
9000,9,1000,-253.0751375138767,0.166826993227005,3.876683235168457,-4.109779357910156,0.2,,
10000,10,1000,-215.49406891727344,0.16413086652755737,3.8672173023223877,-4.927289009094238,0.2,,
10000,,,,0.16413086652755737,3.8672173023223877,-4.927289009094238,0.2,-2.9198976531821286,0.8040151325360251
11000,11,1000,-259.3839691974523,0.18461424112319946,4.819582939147949,-5.660706043243408,0.2,,
12000,12,1000,-184.67370188336272,0.18379099667072296,4.477097988128662,-6.430855751037598,0.2,,
13000,13,1000,-125.38615256943042,0.17388013005256653,4.150121688842773,-7.07965612411499,0.2,,
14000,14,1000,-188.717988748832,0.19587787985801697,4.252240180969238,-7.764913558959961,0.2,,
15000,15,1000,-183.11946780884875,0.19268710911273956,4.28920841217041,-8.920148849487305,0.2,,
16000,16,1000,-166.41608424704185,0.21641448140144348,4.722356796264648,-9.177898406982422,0.2,,
17000,17,1000,-209.24865333230994,0.212331160902977,4.738472938537598,-10.395263671875,0.2,,
18000,18,1000,-208.40102120817195,0.19852569699287415,3.860292911529541,-11.366939544677734,0.2,,
19000,19,1000,-156.15083231084387,0.1892983317375183,3.782050609588623,-11.883320808410645,0.2,,
20000,20,1000,-214.7701040767963,0.2021133005619049,3.6651787757873535,-12.563333511352539,0.2,,
20000,,,,0.2021133005619049,3.6651787757873535,-12.563333511352539,0.2,-15.032357599203596,7.060185606504015
21000,21,1000,-218.93211641022666,0.24175415933132172,6.229621887207031,-13.429988861083984,0.2,,
22000,22,1000,-161.76646265143816,0.23482860624790192,3.895275115966797,-14.051198959350586,0.2,,
23000,23,1000,-303.0484707444786,0.27664899826049805,5.610142707824707,-14.825312614440918,0.2,,
24000,24,1000,-155.45583212909963,0.22637739777565002,3.356712818145752,-15.378046989440918,0.2,,
25000,25,1000,-136.02939013005943,0.17637726664543152,4.710773468017578,-16.278518676757812,0.2,,
26000,26,1000,-309.5560518678702,0.21938638389110565,3.4440698623657227,-15.994729995727539,0.2,,
27000,27,1000,-111.5593805943609,0.20639517903327942,3.001818895339966,-16.512176513671875,0.2,,
